Rumah Sakit,Reviewer,Waktu,Rating,Ulasan
RS Sari Asih Karawaci,Emaliah Refda,3 bulan lalu,5.0,Semua pelayanan dari mulai check in sampai check out selama bersalin di rs sangat baik. Terimakasih
RS Sari Asih Karawaci,Febriyanti Rahman,3 bulan lalu,5.0,"Pelayanan dan semuanya baik baik banget, bidan ramah dan sabar. Saya dirawat diruang kebidanan sama dokter Agus Hermawan"
RS Sari Asih Karawaci,Lita Sukma Utami,5 bulan lalu,5.0,"Alhamdulillah saya mmpercayakan kelahiran anak saya di RS Sari Asih Karawaci, pelayanan nya bagus, dokter, bidan dan staf nya ramah. Disini diajarkan cara menyusui bayi, memandikan bayi, pijit bayi, pokok nya the best Sari Asih…🫶🏻 …"
RS Sari Asih Karawaci,Nining Setianingsih,3 bulan lalu,5.0,"Anak saya di rawat di rs sari asih  di bagian kebidanan dengan dr agus hermawan,alhmdulilah semua perawatnya ramah2"
RS Sari Asih Karawaci,Infinix 2088,7 bulan lalu,4.0,Kasih bintang 4 untuk overall perawat dokter nya okay bangett tapi engga suka sama security nya memang saya ada pantang maling di curigain terus orang istirht di tengokin. Memang itu tugas nya security tapi engga bagus orang istirht di …
RS Sari Asih Karawaci,Nuraini Dewi,8 bulan lalu,5.0,"Selalu berobat disini, krn pelayanan'a yg fast respon, sangat ramah, dokter & staff'a yg helpfull... berkah & sukses selalu RS SARI ASIH KARAWACI 😍 …"
RS Sari Asih Karawaci,Levina Agustia,10 bulan lalu,5.0,"Saya agus rohim baru pertama kali dirawat di rs sari asih karawaci,pelayanan nya bagus cepat direspon,suster dan dokter nya jga sangat sangat ramah dan baik,kamar nya pun bersih wangi,trima kasih selama perawatan saya ditangani dengan baik"
RS Sari Asih Karawaci,Leonardo Davinci,4 bulan lalu,5.0,Pelayanan sangat baik terutama Dokter kandunganya dr Agus Hermawan spog yang sudah baik banget dan perawatnya yang baik ramah🙏🏻🙏🏻 …
RS Sari Asih Karawaci,Desi Prasetyaningrum,5 bulan lalu,5.0,"Lebih tingkatkn lg pelayanan ke pasien, dan utk dokter nya hrs lbh koperatif jgn trll diem, jd pasien jg canggung. Bidan nya jg ramah2 terutama Bidan Mudaah & bidan vega klo gk salah namanya, Terima kasih pelayanan nya"
RS Sari Asih Karawaci,ika sartika,5 bulan lalu,2.0,"Ya Allah sumpah bener bener kaget waktu anak di mantuk katanya positif TB SM dr mahruzaman minum lah oat 2 minggu ,pas ganti dokter milky ya Allah Alhamdulillah langsung dsuruh biopsi pas dibiopsi hasilnya hanya radang karena memang awal …"
RS Sari Asih Karawaci,tiara geming,11 bulan lalu,5.0,rumah sakitnya nyaman bersih pelayanannya juga ramahh rekomendasi pokoknya ❤️❤️
RS Sari Asih Karawaci,Fredrick Sugianta,6 bulan lalu,5.0,"Rumah Sakit yang full AC, tempat duduknya banyak, dari security, resepsionis, suster sampai dokternya sopan, informatif dan cekatan. Semuanya dicover oleh BPJS dari Rawat Jalan sampai Rawat Inap. Untuk Rawat Inap, kamarnya nyaman, Terima …"
RS Sari Asih Karawaci,Robiatul Muadah,Diedit 4 bulan lalu,5.0,"Rumah sakit ter the best menurut saya, dari segi pelayanan suster dan dokter nya semua nya ramah cara mengatasi anak yg nangis saat pemberian obat pun sikap nya baik dan ramah . Terutama diruangan mahardika ruangan ter the best susternya the best ramah baik murah senyum .Tetap dipertahankan ya 👍 …"
RS Sari Asih Karawaci,Maryono Widodo,4 bulan lalu,5.0,"Secara keseluruhan pelayanan nya sangat memuaskan, petugas nya sangat ramah dan fast respon, ruangan dan kamar mandi bersih dan nyaman, pokoknya rekomend banget buat kami warga Tangerang"
RS Sari Asih Karawaci,Nita Andriyana,5 bulan lalu,5.0,"Saya ibu nita, dirawat di kamar bersalin dengan dokter mimi tindakan kuret di kamar 1005 dengan Bd. Puji Bd. Erni saya merasa puas karena pelayanan sangat baik dan ramah"
RS Sari Asih Karawaci,Deri Firmansyah,6 bulan lalu,5.0,"Pelayannanya termasuk cepat dan memuaskan, digitalisasi juga merupakan langkah yang pintar, dari satpam hingga suster dan dokter juga ramah, hanya saja masukan mungkin bagi bagian pendaftaran di berikan microphone pengurus suara, selainnya sudah baik, Barakallahu fikum"
RS Sari Asih Karawaci,Yuliana Karmila,5 bulan lalu,5.0,"Pelayanan sangat islami terutama d kebidanan terimakasih semua bidan, dan pegawai yang d kamar bersalin bersalin, semoga makin barokah dalam melayani masyarakat yang ingin melahirkan,aaminn"
RS Sari Asih Karawaci,Ari Romdhoni,3 bulan lalu,5.0,"Saya jauh dari cikupa, tapi ketika mau di rawat, baik saya maupun keluarga pasti ke sari asih karawaci, dari lahiran anak pertama dan kedua, anak anak sakit pun pasti kesini. Terus pertahankan cepat tangggap ramah"
RS Sari Asih Karawaci,Sintia Mardita,6 bulan lalu,5.0,"Saya operasi sc di tolong oleh dr mimi dan di rawat di kamar bersalin nomor 1006 oleh bidan kepala ruangan bidan Fuji, bidan Mira, bidan ria, bidan mudah. Pelayanan disini sangattt bagus banget puas pokoknya."
RS Sari Asih Karawaci,Na Banana,7 bulan lalu,1.0,Pindah cek kehamilan dr rs lain ke sari asih krn direkomendasiin ibu & berharap dapet dokter yg cocok dan bisa membantu saya melakukan persalinan di sari asih. …
RS Sari Asih Karawaci,Didie Didin,10 bulan lalu,5.0,"Terima kasih semuanya,,, di  rawat di ruang kebidanan 1008 dintolong dr agus heemawan spog , kalian sangat berjasa buat keluarga kecil kami,,,terima kasih semuanya kalian sangat hebat❤️❤️❤️ …"
RS Sari Asih Karawaci,Kirinata Wisesa,7 bulan lalu,1.0,"Kecewa berat periksa di sini. Staff dan dokter cowonya tidak ramah dan tidak profesional. Baru datang, disambut dengan staff cowo ketus. Ketika periksa di penyakit dalam dengan dr. Ahmad Sofian, dokternya tidak ramah, senyum tapi ketus, …"
RS Sari Asih Karawaci,Aditya Yunianto,4 bulan lalu,5.0,"Terima kasih banyak utk dokter, Bidan dan perawat, semua nya pada ramah, baik.
Selama dirawat semua nya terasa nyaman.."
RS Sari Asih Karawaci,Eko Sinatra,7 bulan lalu,5.0,"Saya ibu melda dirawat di kamar bersalin ruang 1008 dengan dr agus dan bidan puji dan bd erni, bd yuli, bd mudah tindakan sesar.
Saya merasa nyaman dan tenang"
RS Sari Asih Karawaci,Aaabbb,5 bulan lalu,5.0,Rumah sakit sariasih smuanya SDH baik dlm pelayanan dan fasilitas nya.. perawatnya yg sabar baik juga cekatan TDK membedakan mana pasien umum BPJS atau jaminan smua dilayani dgn baik.. terimakasih sariasih semoga kedpnnya menjadi RS unggul RS setangerang kota..
RS Sari Asih Karawaci,dina novalia,6 bulan lalu,5.0,Suster nya ramah dokternya ganteng² cantik juga.bagian fisioterapi asik² susternya.pokoknya keren deh
RS Sari Asih Karawaci,Imam hadi kuseno,3 bulan lalu,5.0,"Pelayanan sangat baik. Radiologi & laboratorium, hasilnya dikirim lewat wa praktis. Pelayanan obat juga cepat. Mantapp."
RS Sari Asih Karawaci,Nindy Dellia Putri,6 bulan lalu,5.0,"Vaksin hpv aja sampai 3 jam yaallahh😭😭 maaf ini pakai asuransi bagaimana kalau keluarga kita ada yang pakai bpjs😭😭 segini bukan jam krusial, tapi di malam hari😭😭 gakuat2 lama bgt ini nunggunya😭🙏🏻 …"
RS Sari Asih Karawaci,Chinthia.agnesfranciska,5 bulan lalu,5.0,"Saya di rawat di kamar kebidanan nomer 1008 oleh Dr Agus dan dirawat oleh bidan puji, dan bidan Lita dan bidan Rika dan bidan Mudah. Pelayanan nya sangat baik dan sesuai prosedur rumah sakit, sangat cepat penanganan nya the best pokoknya 🫶🏻 …"
RS Sari Asih Karawaci,zep fahmi,Diedit 4 bulan lalu,5.0,"keramahan perawat yg bikin nyaman pasien² nya, saya d rawat di 3017
Tidak ada yg membeda bedakan pasien. Perawat dan dokternya jelas sekali mengedukasi diagnosis penyakitnya …"
RS Sari Asih Karawaci,elysza ramaniar,5 bulan lalu,5.0,"Alhamdulillah dirawat dengan sangat baik sampai sembuh. Semua staff ramah. Ahli gizi nya ramah, menjelaskannya sangat detail dan sabar saat ditanya-tanya, sangat informatif juga. Makanannya juga cocok"
RS Sari Asih Karawaci,Sarah C.H,4 bulan lalu,5.0,"Saya dirawat di ruang kebidanan dg bidan Puji dan dr. Agung dengan pelayanan dan lingkungan perawatan yang sangat aman, nyaman & mendapatkan penjelasan yg sangat mudah dimengerti terkait penyakit saya."
RS Sari Asih Karawaci,KUSWANTO,5 bulan lalu,5.0,"Istriku lahirnya disari asih karawaci, semua petugas yang membantu istri saya semua ramah, dokter bidan dan susternya sangat cekatan, alhamdulillah istri sehat dan anak saya lahir dg selamat, kami dikamar 1006 ruangan bersih dan nyaman, …"
RS Sari Asih Karawaci,Riska Febriyati,4 bulan lalu,3.0,"Dokter datang lambat banget jauh dari jam estimasi ,kalau pasien datang lewat dari jam estimasi kadang tidak bisa daftar ulang lagi.terutama di poli trapi."
RS Sari Asih Karawaci,Lady Diana,6 bulan lalu,5.0,Saya ibu risa dirawat dikamar bersalin dengan dokter agung tindakan lahir normal di ruang 1005 syaa merasa sangat nyaman dari segi pelayanan dll sangat baik dan memuaskan...
RS Sari Asih Karawaci,Mayang Pertiwi,4 bulan lalu,5.0,"Melahirkan di RS Sari Asih Karawaci bersama Dokter Agus & team, luar biasa dari awal kontrol kehamilan sangat peduli & detail. terima kasih dok, sukses selalu!"
RS Sari Asih Karawaci,R.A Bella Violitha,7 bulan lalu,5.0,"Saya dirawat dikamar bersalin kamar no. 1003 olek bidan kepala ruangan bd. Puji, bd. Lita, bd Vega, dan bd. Mudah. Pelayanannya sangat ramah dan memuaskan"
RS Sari Asih Karawaci,Tasya Zahara,setahun lalu,5.0,"Menurut aku bagus sih pelayanannya, cepet banget juga pada saat mau tindakan dari poli ke jadwal operasi cepet banget ga pakai tunda tunda, dokter urologi aku baik juga. tapi, kadang ada beberapa suster yang judes, dan gabisa pasang infusan jadi sakit. Tapi gapapa, semuanya diluar dari kekurangan the best banget sari asih❤️"
RS Sari Asih Karawaci,maywanti khoirunnisa,4 bulan lalu,5.0,"Cepat, sigap dan tanggap pelayanan nya. Tetapi lebih cepat lg kalo kita sebagai pasien daftar melalui aplikasi JKN jd bisa lebih cepat."
RS Sari Asih Karawaci,Ham Bali,6 bulan lalu,5.0,"Penanganannya cepat dan efisien,
JD lebih tenang kalo berobat/berkunjung di RS Sari asih karawaci. Isteri saya lahir di ruang kebidanan, ditangani dgn bidan Fuji, bidan Tia dan bidan mira.pokoknya the best dan sigap penanganannya."
RS Sari Asih Karawaci,Michael Verdad,6 bulan lalu,1.0,"RS segudang drama, rawat inap anak sakit 3 hari gk ada mendingnya dari awal masuk sampe hari ke 3 begitu2 aja, saran buat anak kecil jng berobat dsini kasihan gk bikin jd sembuh sakitnya"
RS Sari Asih Karawaci,"Farahmitha S.Keb,Bd",8 bulan lalu,5.0,"Beberapa hari lalu saya masuk ugd kebidanan, ditangani dengan sangat baik dan sigap sampai dengan rawat inap, dokter berpengalaman, bidan pudji dan seluruh tim lainnya sangat helpful, ramah, penuh empati sehingga saya merasa tenang selama …"
RS Sari Asih Karawaci,Arief Supriyanto,6 bulan lalu,5.0,"Pelayanan memudahkan dan tidak bertele2
Sukses terus dan semakin membarikan manfaat bagi masyarakat"
RS Sari Asih Karawaci,Rayhan Safatullah,5 bulan lalu,5.0,"saya ibu murni dirawat di kamar bersalin dengan dokter agung tindakan biopsi, saya merasa senang, alhamdulillah pelayanannya bagus dan dokternya baik dan perawatnya ramah dan cantik cantik"
RS Sari Asih Karawaci,Hendra_737,Diedit 2 tahun lalu,5.0,"Lokasi strategis, tempat nyaman dan bersih, lingkungan yang religius ada mesjid yg megah d samping RS, saat wkt sholat tiba hampir seluruh aktifitas terhenti utk melakukan sholat berjamaah, sayang untuk pelayanan, terutama unit IGD, terlalu …"
RS Sari Asih Karawaci,Ardian Adwin,setahun lalu,5.0,"Insya Allah berkah dan sehat selalu buat para Nakes di RS Sari Asih Karawaci, aamiin, Alhamduillah terima kasih untuk pelayanan dan fasilitas yang diberikan selama istri saya di opname"
RS Sari Asih Karawaci,Jeni Jes,6 bulan lalu,5.0,"Saya bersalin dikamar kebidanan dengan dokter agus Dan dirawat oleh bidan kepalanruangan bidan puji, hidan sinta, bidan erni Dan bidan mudah pelayanan sangan memuaskan, Dan bagus, bidan""nya ramah Dan sangat baik."
RS Sari Asih Karawaci,Nova Pratiwi,3 bulan lalu,5.0,"Semua lini pelayanan nya sangat baik, pertahankan tanpa membeda²an pasien kelas kamar perawatan."
RS Sari Asih Karawaci,Kasmira Khudori,4 bulan lalu,5.0,"Pelayanan dokter baik, pelayanan perawat ramah, rumah sakit bersih dan nyaman. Semoga terus memberikan Pelayanan baik kepada semua pasien."
RS Sari Asih Karawaci,Muhammad Ardiansyah,5 bulan lalu,5.0,"Alhamdulillah disini pelayanan nya sangat baik, semoga para Dokter,perawat,staff dan satpam selalu diberikan umur panjang .. aamiin..."
RS Sari Asih Karawaci,Susilawati Mega99,6 bulan lalu,5.0,"Selama Di rawat di RS Sari Asih Karawaci, pelayanan cepetdari masuk IGD sampai keruang rawat inap
Di rawat di rangan 10003 , di jaga banget keBersih.. …"
RS Sari Asih Karawaci,Andri Priyo,7 bulan lalu,1.0,"Sungguh saya merasa sangat kecewa,  dengan kualitas pennganan rumah sakit sari asih tangerang, kakak saya sudah di rawat selama 6 hari tapi tidak ketahuan sakit nya apa, tidak ada tindakan ekstra, bahkan dari pihak keluarga minta untuk …"
RS Sari Asih Karawaci,Fenesia Gloria Tehupeiory,7 bulan lalu,1.0,"Hallo saya mau cerita pengalaman saya mama saya dioperasi di RS ini.

Sangat amat mengecewakan, jadi singkatnya mama saya jatuh tertimpa tangga yg …"
RS Sari Asih Karawaci,Najwa Erfi,5 bulan lalu,5.0,"Pelayanannya sangat memuaskan,staf dan susternya ramah baik dan perhatian dan dokternya juga ramah baik dan sangat jelas memberikan keterangan
Terima kasih RS Sari Asih"
RS Sari Asih Karawaci,JBM 89,6 bulan lalu,5.0,Luar bisa..benar2 sesuai slogannya..melayani dgn kasih sayang....terutama menu makanannya dan pelayanan bagian lab dan perawatnya..tim dokter yg cekatan..tolong porsi sayurannya ditambahkan..enak soalnya..
RS Sari Asih Karawaci,Orang Hebat Sukses,7 bulan lalu,5.0,"Saya ibu kamera di rawat di kamar bersalin ruang 1008 tindakan kuret dengan dokter agus,bd puji, bd erni, bd yuli, bd mudah.
Saya merasa nyaman dan ramah baik."
RS Sari Asih Karawaci,Juna Edi,2 tahun lalu,5.0,"Suasana nyaman dengan scurity yg profesional dan tenaga medis yg ramah ....
Untuk saran  untuk ruang tunggu ICU kalo bisa agak tertutup soalnya terkadang ada penunggu/yg besuk yg mau melepaskan lelah sambil tidur tiduran ....    Untuk semuanya good job ."
RS Sari Asih Karawaci,Muhammad Taufiq,3 bulan lalu,5.0,"rumah sakit terbaik bagi keluarga kami.
sukses selalu RS.sari asih karawaci"
RS Sari Asih Karawaci,nugrohos jati,7 bulan lalu,5.0,"No kamar 1006 (kamar bersalin),
Bidan Puji, Bidan Lita ,Bidan Widad, Bidan Mudah.
Semua pelayanannya sangat baik dan ramah. Sangat memuaskan sekali.
Cm 1 kekurangannya, loading parkiran kluar agak lama saat nempel karcis."
RS Sari Asih Karawaci,Sofian,4 bulan lalu,5.0,Saya di rawat di RS Sari asih untuk dokter dan pelayanannya cukup ramah dan memuaskan ..bagus banget RS nya🙏😊 …
RS Sari Asih Karawaci,Konita Luvia,5 bulan lalu,5.0,Sari asih karawaci pelayanan ny oke bgt suster nya ramah ramah dari pendftran rwt jalan smpai kamar rawat petugas ny is the best..kmr ny bersih dan nyaman..rs turun temurun keluarga saya 😇 …
RS Sari Asih Karawaci,Putri Ayu Fitria,10 bulan lalu,1.0,"Pelayanan farmasinya lambat banget keterlaluan nunggu sampe 3 jam, ga ngerti konsep antriannya gimana kali 👎🏻👎🏻👎🏻 …"
RS Sari Asih Karawaci,nada chaerunisa,Diedit 11 bulan lalu,5.0,"Suka banget dari dulu kecil disini sampe udh lahiran SC 2 kali disini …
Semua bidan baik semua dan ramah ❤️🤩
Pokoknya the best lahhh!! …"
RS Sari Asih Karawaci,bintang cl,8 bulan lalu,5.0,"Semua pelayanan baik
Saya pernah oprasi kista sembuh total
Melahirkan disini …"
RS Sari Asih Karawaci,Uwan Abu bakar,11 bulan lalu,5.0,"Sy puas dan nyaman semua pelayanan ny bagus, semoga ttp menjadi rumah sakit yg terbaik🥰👍 …"
RS Sari Asih Karawaci,Fauziyah Octavianti,7 bulan lalu,5.0,"Pelayanan ok dan nyaman. Hanya tingkatkan pengawasan dan penjagaan terhadap yang menunggu pasien, karena saat saya dirawat, orang disebelah saya membawa serta keluarganya menginap. Sedikit mengganggu kenyamanan. Tp selain itu semua bagus. …"
RS Sari Asih Karawaci,Roro Rachmi Dewanti,3 bulan lalu,5.0,"Ibu saya dirawat diruang kebidanan, pelayanan sangat memuaskan, dokter memberi penjelasan sangat jelas"
RS Sari Asih Karawaci,Peni Rahayu,7 bulan lalu,5.0,"Saya dirawat di kamar bersalin di kamar 1006, dan kepala ruangan bidan uji, bidan yuli, bidan widad dan bidan mudah pelayanannya sangat memuaskan dan penjelasan para perawat dan bidan sangat baik dan sabar"
RS Sari Asih Karawaci,Fatah Yasent,5 bulan lalu,5.0,RS sari asih karawaci is the best.. Pelayanannya sangat memuaskan.. Petugas ramah ramah. Kebersihannya selalu dijaga.. Ruang tunggu luas.. Semoga makin jaya
RS Sari Asih Karawaci,Rusdy Muhammad,6 bulan lalu,5.0,"Alhamdulillah Pelayanannya baik dan ramah, khususnya Bu Puji, Bidan Tia dan Bidan Erni semuanya melayani dengan tulus. Semoga selalu berkah"
Mayapada Hospital Tangerang (MHTG),Mona Ayu,5 bulan lalu,5.0,"Pelayanan radioterapi di Mayapada Hospital Tangerang sangat profesional, terstruktur, dan menenangkan. Pasien ditangani oleh tim multidisiplin yang berpengalaman mulai dari dokter, fisikawan medis, radiografer, hingga perawat, dengan …"
Mayapada Hospital Tangerang (MHTG),margaretta palmariana,5 bulan lalu,5.0,"Pelayanan di Mayapada Hospital Tangerang sangat baik! Dokter dan perawatnya ramah, penjelasannya jelas, dan fasilitasnya bersih serta nyaman. Proses pemeriksaan cepat dan terasa profesional. Sangat puas dengan pengalaman berobat di sini. Terima kasih Mayapada Hospital!"
Mayapada Hospital Tangerang (MHTG),Febrina Sari,Diedit 4 bulan lalu,5.0,"Masih menjadi pilihan kami dan keluarga untuk kesehatan di rs MHTG..
2x melahirkan dan operasi sc disni sangat memuaskan , pelayanan bidan perawat dan suster, dan smua dokter untuk persalinan sangat ramah dan helpfull ,, just …"
Mayapada Hospital Tangerang (MHTG),Junianto Junianto,5 bulan lalu,4.0,Sdh beberapa kali ke rs mayapada kalau untuk pelayanan dr dokter dan susterny ok. ruangan lbh luas dan nyaman di lantai 3 kalau lantai 5 kurang nyaman.semoga aja kedepanny bs di buat nyaman semua.sm satu lgi waktu mau di anter sma yg jemput …
Mayapada Hospital Tangerang (MHTG),Anggraini Suci,4 bulan lalu,5.0,"Pengalaman rawat inap di rumah sakit ini sangat baik.Pelayanan perawat sangat ramah, sigap, dan penuh perhatian selama rawat inap, dokter rutin melakukan visit dan menjelaskan kondisi pasien dengan jelas. Kebersihan kamar dan lingkungan …"
Mayapada Hospital Tangerang (MHTG),Roro Diana,7 bulan lalu,5.0,"Selama perawatan di Gedung 1 kamar 5005 selalu di layani dengan baik oleh para dokter (dr. Anastasia Maureen, dr. Budi, dr Bimo dll) dan semua perawat serta petugas lainnya yg bertugas sangat baik dan ramah serta dengan hati yang tulus. …"
Mayapada Hospital Tangerang (MHTG),Venife,7 bulan lalu,5.0,"Pelayanan sangat2 baik, ruangan juga bersih banget setiap hari di bersihkan, suster dan dokter semua sangat ramah dan sigap. Sangat2 recommended!"
Mayapada Hospital Tangerang (MHTG),Fernanda Olympia,7 bulan lalu,5.0,"Sangat nyaman tempatnya, bersih, dari awal sudah disambut dengan satpam yang ramah lalu diarahkan langsung. Recommend untuk perawatan2 yang dibutuhkan karena sangat lengkap dengan dokter2 yang berpengalaman."
Mayapada Hospital Tangerang (MHTG),Desy Primandari,7 bulan lalu,5.0,"Pertama kali rawat inap di Mayapada Hospital Tangerang., pelayanan semua baik, bagus, perfect.
Dari Dokter, suster, kamar, security dan OB semua terbaik. …"
Mayapada Hospital Tangerang (MHTG),Nabilaahamid_,3 bulan lalu,5.0,"Radioterapi Mayapada Hospital Tangerang memberikan pelayanan yang sangat profesional dan penuh empati. Sejak awal proses, pasien dan keluarga didampingi dengan penjelasan yang jelas, sikap yang ramah, serta perhatian yang menenangkan. Tim …"
Mayapada Hospital Tangerang (MHTG),Arsy Dewi Kusnadi,9 bulan lalu,5.0,"mayapada tangerang memberikan pengalaman yang memuaskan bagi saya yang melahirkan anak pertama. mulai dari dokter, para suster, para bidan, para apoteker, petugas medis yg lain dan petugas non medis. pada saat berada di kamar bersalin …"
Mayapada Hospital Tangerang (MHTG),Leni Widiawati,2 bulan lalu,5.0,"Dari hamil anak pertama sampai sekarang sudah lahir anak kedua selalu konsul ke dr Novianti, spOG ""Dokter OBGYN yang sangat profesional dan pembawaannya selalu santai! Penjelasannya jelas dan mudah dipahami, membuat saya merasa nyaman dan …"
Mayapada Hospital Tangerang (MHTG),Yala Sanjaya,9 bulan lalu,5.0,"Selama menjalani perawatan disini, saya sangat bersyukur karna telah dirawat hingga kembali pulih oleh tenaga medis yg profesional. Terima kasih buat Dr. Benyamin Sastro yang selalu mastikan saya dalam kondisi yang baik dan juga Suster …"
Mayapada Hospital Tangerang (MHTG),Ahmad Tahir,7 bulan lalu,5.0,"Pertama kali rawat inap  papah untuk kateterisasi. Pasien BPJS pelayananya sangat bagus dan cepat.
Dokter perawat dan karyawan non medispun sangat ramah"
Mayapada Hospital Tangerang (MHTG),cicilia priscilla,3 bulan lalu,5.0,"Aku sudah beberapa kali rawat inap di Mayapada Hospital Tangerang setiap kali asma aku kambuh dan pernah juga masuk sini karena kecelakaan. So far, pengalaman aku selalu bagus 👍🏼 …"
Mayapada Hospital Tangerang (MHTG),Hafizhul Khair,5 bulan lalu,5.0,"Ini pertama kali kami merasakan rawat inap di mayapada Hospital, fasilitas dirawat inapnya bagus, makanannya juga enak. …"
Mayapada Hospital Tangerang (MHTG),irma damayanti,7 bulan lalu,5.0,"Saya lahiran 2x selalu disini, di Rs Mayapada Tangerang, lanjut imunisasi dan kontrol anak2 disini, semuaa pelayanan sangat membantu dan sangat baik, fasilitas yg tersedia juga sangat lengkap dan nyaman,. Saya sangat senang bisa konsultasi di Rs Mayapada tangerang. ⭐️⭐️⭐️⭐️⭐️"
Mayapada Hospital Tangerang (MHTG),rislaen,3 bulan lalu,5.0,"Pengalaman rawat inap di RS MHTG (Gedung 3 lt. 4) sangat memuaskan:

Pelayanan: Penanganan cepat IGD. Perawat sangat siaga, saat di 4 gedung 3 cek …"
Mayapada Hospital Tangerang (MHTG),Agustina,6 bulan lalu,5.0,"Saya senang dengan pelayanan di RS Mayapada, karyawannya baik medis maupun non medis semua ramah dan selalu membantu, ruangan bersih dan nyaman, semoga  RS Mayapada selalu terus maju dan berkembang.. Sukses selalu buat RS Mayapada"
Mayapada Hospital Tangerang (MHTG),Wiwid,6 bulan lalu,5.0,"Alhamdulillah di RS mayapada pelayanan bagus, SOP jelas, rapi dan deket rumah
Para staf ramah mulai dari satpam, petugas administrasi, semua suster dan dokter-dokternya …"
Mayapada Hospital Tangerang (MHTG),Aprilian Chen,3 bulan lalu,5.0,"Pelayanan di RS ini sangat baik, mulai dari awal pengurusan rawat inap sd selama dirawat inap tim medis nya ramah, informatif, handal dan selalu siap membantu. Makanan nya juga selalu tepat waktu. Dokter nya sangat ramah dalam menangani …"
Mayapada Hospital Tangerang (MHTG),Ryan Anggara,2 bulan lalu,5.0,"Perawat pediatrik sangat cepat dan tanggap, fasilitasnya bagus dan modern.
Pokoknya the best lah"
Mayapada Hospital Tangerang (MHTG),Christella Yosefhine,7 bulan lalu,5.0,"RS nya nyaman, dokter nya cepat tanggap, sangat detail periksa nya dan informasi yg diberikan pun mudah di mengerti, suster nya juga ramah dan sabar, kamar nya bersih, seluruh staff nya ok, bintang 5 buat rs mayapada tangerang 👍 …"
Mayapada Hospital Tangerang (MHTG),Alia Adi Putri,6 bulan lalu,5.0,Great experience dengan layanan yang diberikan oleh Mayapada Tangerang. Hari ini berobat untuk ibu saya dengan dr Tobrie dan di bantu oleh suster Sisti. Dokter sangat komunikatif dalam memberikan penjelasan dan mba sisti sangat helpful terhadap pasien.
Mayapada Hospital Tangerang (MHTG),Ida Nuraini,2 bulan lalu,5.0,"Pelayanan radioterapi di Mayapada Hospital Tangerang sangat profesional, terstruktur, dan menenangkan. Perawat dan petugas  nya ramah-ramah.
Ruangan radioterapi nya nyaman jadi kalau menunggu giliran radiasi enak nunggu …"
Mayapada Hospital Tangerang (MHTG),Iyar Catering,6 bulan lalu,5.0,"Terimakasih pada RS mayapada yang sudah memberikan pelayanan yg sangat memuaskan, saya di rawat di lt 4 tw 3 kamar 4050, terimakasih pada dr Iwan ortopedi yg sudah merawat saya, terimakasih pada suster yg baik di 4 tw 3 terutama suster nur yg sangat peduli dan baik pada saya, selalu menanyakan keluhan saya"
Mayapada Hospital Tangerang (MHTG),Andi Widya,6 bulan lalu,5.0,"Dokter m Alvin cukup jelas padat dalam menyampaikan penjelasan perihal ACL, PCL, meniscus beserta dengan video beliau dalam melaksanakan operasi, trmksh juga untuk RS mayapada atas kesempatan ini, maju terus dan berkembang untuk RS mayapada"
Mayapada Hospital Tangerang (MHTG),Verena Gabriella,3 bulan lalu,5.0,"Saya melahirkan dgn metode caesar eracs di Mayapada dgn dokter obgynnya dokter Pojianto, dokter anestesinya dokter Ronggo, dokter anaknya dokter Lauren. Bagus banget dan minim rasa sakit, cepat sembuh juga. …"
Mayapada Hospital Tangerang (MHTG),Amalia Wardani,10 bulan lalu,5.0,"Kamar yang kita pakai kebetulan VIP 5006, sangat baik. Fasilitas lengkap, tp mungkin lebih baik lagi ada parfum ruangan agar smells good..
Pelayanan juga sangat baik. Jika sy merekomendasikan ruangan yg saya gunakan dari rate 1-10 ya diangka 9 (karena kurang parfum). But of are all okey dr kebersihan dllnya."
Mayapada Hospital Tangerang (MHTG),TRI SUTOPO,6 bulan lalu,5.0,"Pelayanannya luar biasa! Dari bagian pendaftaran sampai perawat dan dokternya semuanya ramah dan membantu. Rumah sakitnya bersih, ruang tunggu nyaman, dan tidak terlalu lama antre. Dokternya juga detail banget menjelaskan hasil pemeriksaan. Pokoknya puas banget pelayanan melahirkan di Mayapada Tangerang. 👍 …"
Mayapada Hospital Tangerang (MHTG),tiara putri,7 bulan lalu,5.0,"Pelayanan perawatannya baik dan bagus, petugas medisnya cepat tanggap, ramah, dan kompeten. Penjelasan petugas medis dan dokter juga sangat memberi penjelasan dan pemahaman yang oke. Ruang rawat inap juga sangat nyaman, bersih, dan efesien …"
Mayapada Hospital Tangerang (MHTG),Risty Aini,9 bulan lalu,5.0,Mayapada Hospital Tangerang oke pelayanan dan saya cukup terbantu untuk rawat Inap di ruang kebidanan. Dgn sustersuter baik hati yg sudah membantu saya dalam pengobatan selama kehamilan saya. Serta dr Poji yg selalu memberikan pelayanan terbaik untuk menunjang perkembangan kehamilan saya selama ini.
Mayapada Hospital Tangerang (MHTG),Amellia Delphia,4 bulan lalu,5.0,Suka banget sama pelayanan disini. Suster dan dr nya baik2. Aku habis melahirkan disini love bangetttttt sma semua suster dan dr nya💗💗 …
